"GID","URN","UID","Companies House Number","Role","Title","Forename 1","Forename 2","Surname","Date of appointment","Date term of office ends/ended","Appointing body"
"1216249","","4253","06462935","Chief Financial Officer","Mr","Dom","","Carchedi","24/08/2017","","N/A"
"1346508","","4253","06462935","Trustee","Mr","Jonathan","David","Mackinder","01/02/2019","31/01/2023","Persons who are appointed by the foundation body or sponsor (if applicable)"
"1369229","","4253","06462935","Member","","Priory","Fundraising","Trust","01/09/2008","10/02/2022","Original (signatory) members"
"1480363","","4253","06462935","Trustee","Mrs","Lesley","","Tyreman","01/11/2020","31/10/2024","Persons who are appointed by the foundation body or sponsor (if applicable)"
"1534358","","4253","06462935","Trustee","Mrs","Clare","","Allen","12/07/2021","31/08/2025","Persons who are appointed by the foundation body or sponsor (if applicable)"
"1579999","","4253","06462935","Trustee","Mr","Martin","","Hickerton","09/02/2022","17/06/2022","Persons who are appointed by the foundation body or sponsor (if applicable)"
"1580007","","4253","06462935","Trustee","Mr","Steve","","Dixon","09/02/2022","31/03/2026","Persons who are appointed by the foundation body or sponsor (if applicable)"
"1580009","","4253","06462935","Member","Mr","Richard","","Partington","09/02/2022","","Persons who are appointed by the foundation body or sponsor (if applicable)"
"1585728","","4253","06462935","Member","Mr","Peter","","Houten","11/03/2022","","Any additional members appointed by the members of the academy trust"
"1005907","","4257","08340120","Accounting Officer","Mrs","Stephanie","","Coneboy","01/02/2013","31/03/2022","N/A"
"1215362","","4257","08340120","Member","Mr","Paul","","McConaghy","13/07/2017","07/02/2022","Appointed by academy members"
"1277437","","4257","08340120","Chief Financial Officer","Mrs","Tracey","","Stratton","21/02/2018","","N/A"
"1306746","","4257","08340120","Chair of Trustees","Mrs","Gay","","Campbell","14/08/2018","10/03/2022","Appointed by academy members"
"1376684","","4257","08340120","Trustee","Mr","Timothy","","Hodgson","04/07/2019","03/07/2023","Appointed by foundation/Trust"
"1426878","","4257","08340120","Trustee","Mrs","Rebecca","","Scales","06/02/2020","08/12/2021","Appointed by foundation/Trust"
"1426880","","4257","08340120","Member","Professor","Philip","","Hutchinson","06/02/2020","","Appointed by academy members"
"1436743","","4257","08340120","Member","","Ellen","Teresa","Moran","17/03/2020","10/12/2021","Appointed by academy members"
"1446118","","4257","08340120","Trustee","","Dylan","","Thomas","04/06/2020","09/12/2021","Appointed by foundation/Trust"
"1455429","","4257","08340120","Trustee","","John","","Chadwick","01/07/2020","01/04/2024","Appointed by academy members"
"1456495","","4257","08340120","Trustee","","Sarah","","Mitchell","23/07/2020","23/07/2024","Appointed by academy members"
"1483064","","4257","08340120","Member","Mrs","Davina","Gail","Mackay","01/09/2020","","Appointed by academy members"
"1535781","","4257","08340120","Trustee","","Deborah","","Buckley-Golder","01/09/2021","31/08/2025","Appointed by foundation/Trust"
"1577871","","4257","08340120","Trustee","Mrs","Melanie","","Rogers","01/02/2022","01/02/2026","Appointed by foundation/Trust"
"1579005","","4257","08340120","Member","Mr","Peter","","Yearling","07/02/2022","","Appointed by academy members"
"1584741","","4257","08340120","Chair of Trustees","Mrs","Jane","","Edwards","28/03/2022","27/03/2026","Appointed by foundation/Trust"
"1589991","","4257","08340120","Accounting Officer","Mr","Thomas","","Pegler","01/04/2022","","N/A"
"1589992","","4257","08340120","Trustee","Mr","Thomas","","Pegler","01/04/2022","31/03/2026","Appointed by foundation/Trust"
"1005910","","4264","08064698","Accounting Officer","Mr","Michael","John","Barratt","01/01/2015","","N/A"
"1292494","","4264","08064698","Chair of Trustees","Mr","Gary","","Turner","18/07/2017","31/10/2021","Appointed by academy members"
"1292495","","4264","08064698","Chief Financial Officer","Mr","Duncan","","Wright","01/09/2016","","N/A"
"1292535","","4264","08064698","Trustee","Mr","Sasha","","Ramtuhul","27/03/2018","26/03/2022","Appointed by academy members"
"1292537","","4264","08064698","Member","Mr","David","","Coull","01/09/2016","","Original (signatory) members"
"1292538","","4264","08064698","Member","Mr","Paul","","Duffy","01/09/2016","","Original (signatory) members"
"1292539","","4264","08064698","Member","Mr","Jonathan","","Hamilton","01/09/2016","","Original (signatory) members"
"1292540","","4264","08064698","Member","Mr","Carl","","Johnson","01/09/2016","","Original (signatory) members"
"1305131","","4264","08064698","Trustee","Mr","Peter","","Paes","27/03/2018","26/03/2022","Appointed by GB/board"
"1414023","","4264","08064698","Trustee","Mrs","Kimberley","","Burbridge","21/11/2018","21/11/2022","Appointed by GB/board"
"1414026","","4264","08064698","Trustee","Mrs","Ann","","O'Brien","12/11/2019","11/11/2023","Appointed by GB/board"
"1414030","","4264","08064698","Member","Mrs","Yvonne","","Rimmer","24/05/2019","","Original (signatory) members"
"1428657","","4264","08064698","Trustee","Mr","Michael","John","Barratt","01/01/2015","31/08/2022","Ex-officio by virtue of office as headteacher/principal"
"1477100","","4264","08064698","Trustee","Mr","Donald","","Burgess","13/07/2020","12/07/2024","Appointed by academy members"
"1487647","","4264","08064698","Trustee","Mr","Thomas","Patrick","Holland","26/10/2020","12/10/2024","Appointed by GB/board"
"1487648","","4264","08064698","Trustee","Mrs","Naomi","Margaret","Pritchard","27/11/2020","12/10/2024","Appointed by GB/board"
"1588122","","4264","08064698","Chair of Trustees","Mr","Gary","","Turner","26/06/2019","25/06/2023","Appointed by academy members"
"1588123","","4264","08064698","Trustee","Mr","Peter","","Paes","27/03/2022","26/03/2026","Appointed by GB/board"
"1588124","","4264","08064698","Trustee","Mr","Sasha","","Ramtuhul","27/03/2022","26/03/2026","Appointed by academy members"
"1619551","","4264","08064698","Trustee","Mr","David","","O'Toole","01/09/2022","31/08/2026","Appointed by academy members"
"1005912","","4269","07493622","Accounting Officer","Mr","Nigel","","McLaughlin","01/04/2012","","N/A"
"1160310","","4269","07493622","Member","Mr","Philip","Eric","Carter","31/12/2016","","Appointed by academy members"
"1160433","","4269","07493622","Trustee","Mrs","Yaa","","Larbi","01/09/2015","31/08/2023","Appointed by GB/board"
"1160436","","4269","07493622","Trustee","Mr","Andrew","","Wallis","01/02/2013","31/01/2025","Appointed by GB/board"
"1259437","","4269","07493622","Trustee","Mr","Philip","Eric","Carter","31/12/2016","30/12/2024","Appointed by GB/board"
"1407708","","4269","07493622","Member","Mr","Michael","Stephen","Day","18/11/2019","","Appointed by academy members"
"1442363","","4269","07493622","Chair of Trustees","","Joan","Hazel","Greening","15/10/2016","14/10/2024","Appointed by GB/board"
"1444847","","4269","07493622","Member","Mr","Neil","","Chakrabarti","08/06/2020","","Appointed by academy members"
"1492006","","4269","07493622","Member","Mr","Andrew","","Howie","16/12/2020","","Appointed by academy members"
"1534530","","4269","07493622","Chief Financial Officer","Mr","Timothy","","Edwards","23/08/2021","","N/A"
"1558914","","4269","07493622","Member","Mr","Santanu","","Vasant","15/11/2021","","Appointed by academy members"
"1562035","","4269","07493622","Trustee","Mr","Sunil","","Rohra","17/11/2021","16/11/2025","Appointed by GB/board"
"1562914","","4269","07493622","Trustee","Mrs","Smitha","","Mohandas","17/11/2021","16/11/2025","Appointed by GB/board"
"1565703","","4269","07493622","Trustee","Mr","Rakesh","","Mawkin","08/12/2021","09/03/2022","Appointed by GB/board"
"1567364","","4269","07493622","Trustee","Mr","Roshan","","Pathmakumar","08/12/2021","07/12/2025","Appointed by GB/board"
"1568630","","4269","07493622","Trustee","Mr","Norman","","Jones","08/12/2021","07/12/2025","Appointed by GB/board"
"1005915","","4273","08767576","Member","Rev","Clive","Francis","Gilbert","03/03/2014","","Original (signatory) members"
"1005918","","4273","08767576","Member","","Cerys","Elizabeth","Randell","03/03/2014","","Original (signatory) members"
"1005920","","4273","08767576","Member","Mrs","Paula","","Smythe","03/03/2014","","Original (signatory) members"
"1005924","","4273","08767576","Member","Mrs","Elizabeth","Jane","White","03/03/2014","","Original (signatory) members"
"1005928","","4273","08767576","Accounting Officer","Mr","Paul","Zachary","Rushforth","11/04/2016","","N/A"
"1005929","","4273","08767576","Chief Financial Officer","Mrs","Judy","","Shore","11/04/2016","","N/A"
"1153002","","4273","08767576","Member","","Bernard","Harry","Maynard-Smith","03/03/2014","","Original (signatory) members"
"1005930","","4280","07558466","Accounting Officer","Mr","David","Murray","Anderson","01/04/2011","","N/A"
"1279636","","4280","07558466","Chief Financial Officer","Mr","Graeme","Luke","Lloyd","01/05/2017","01/01/2022","N/A"
"1485136","","4280","07558466","Chair of Trustees","Mr","Roger","Antony","Spicer","05/09/2021","04/09/2025","Appointed by GB/board"
"1485141","","4280","07558466","Trustee","Mr","Stuart","John","Davison","13/02/2020","12/02/2024","Appointed by GB/board"
"1485142","","4280","07558466","Trustee","Rev","Simon","","Rowlands","01/01/2020","31/12/2023","Persons who are appointed by the foundation body or sponsor (if applicable)"
"1485145","","4280","07558466","Trustee","Mr","Stephen","Richard","Elderkin","03/10/2019","02/10/2023","Appointed by GB/board"
"1485146","","4280","07558466","Trustee","Mr","Geoffrey","","Wade","01/10/2015","17/04/2022","Appointed by GB/board"
"1485147","","4280","07558466","Trustee","Mrs","Tracey","","Rose","01/09/2019","31/08/2023","Appointed by GB/board"
"1485148","","4280","07558466","Trustee","","Nana","Abena","Amfo","06/12/2018","05/12/2022","Appointed by GB/board"
"1485149","","4280","07558466","Trustee","Mr","Stephen","","Wilson","04/10/2018","06/06/2022","Appointed by GB/board"
"1485150","","4280","07558466","Trustee","Mrs","Tina","Ann","Jack","19/05/2022","18/05/2026","Appointed by GB/board"
"1485152","","4280","07558466","Trustee","Mr","Ian","","Rawlings","10/05/2022","09/05/2026","Appointed by GB/board"
"1485156","","4280","07558466","Trustee","Mr","Andrew","","Shepherd","26/04/2021","25/04/2025","Appointed by foundation/Trust"
"1485157","","4280","07558466","Trustee","Mrs","Yvonne","","Wills","30/03/2021","29/03/2025","Appointed by foundation/Trust"
"1485158","","4280","07558466","Trustee","Mr","Roger","","Bottomley","02/05/2018","01/05/2022","Elected by school staff"
"1500582","","4280","07558466","Trustee","Miss","Tracey","Anne","Harris","27/01/2022","26/01/2026","Elected by school staff"
"1506600","","4280","07558466","Trustee","Mrs","Alison","Jane","Church","11/02/2021","10/02/2025","Appointed by GB/board"
"1598885","","4280","07558466","Chief Financial Officer","Mrs","Yan","Fong","Mudhar-Fung","01/01/2022","","N/A"
"1599058","","4280","07558466","Trustee","Mrs","Sandra","","Holmes","27/04/2022","26/04/2026","Elected by parents"
"1608970","","4280","07558466","Trustee","Mrs","Louise","","Brunger","15/06/2022","14/06/2026","Elected by school staff"
"1620655","","4280","07558466","Member","Mr","Daniel","","Harwood","13/01/2021","","Appointed by academy members"
"1620658","","4280","07558466","Member","Mr","John","","Coulter","13/01/2021","","Appointed by academy members"
"1620661","","4280","07558466","Member","Mr","Peter","","Lee","01/04/2011","","Appointed by academy members"
"1620665","","4280","07558466","Member","Mr","Dave","","Gollins","31/01/2019","","Appointed by academy members"
"1620666","","4280","07558466","Member","Canon","Peter","","Lock","22/06/2017","","Appointed by academy members"
"1129442","","4292","08787650","Member","Mr","Dean","","Roberts","22/11/2013","","Appointed by academy members"
"1166698","","4292","08787650","Trustee","Mr","Daniel","","Wagg","06/02/2017","24/03/2025","Appointed by academy members"
"1248141","","4292","08787650","Chair of Trustees","Mr","Dean","","Roberts","22/11/2017","21/11/2025","Appointed by academy members"
"1248163","","4292","08787650","Trustee","Mr","Dean","","Roberts","22/11/2017","21/11/2025","Appointed by academy members"
"1248166","","4292","08787650","Trustee","Mr","Richard","","Jackson","16/11/2017","17/11/2025","Appointed by academy members"
"1248242","","4292","08787650","Trustee","Mr","Stephen","","Foster","22/11/2017","21/11/2025","Appointed by academy members"
"1248298","","4292","08787650","Member","Mr","Richard","","Jackson","16/11/2017","","Appointed by academy members"
"1259235","","4292","08787650","Trustee","Mr","Andrew","David","Brown","16/11/2017","17/11/2025","Appointed by academy members"
"1383198","","4292","08787650","Trustee","Mr","William","","Sharpe","01/09/2019","02/09/2023","Appointed by academy members"
"1383211","","4292","08787650","Accounting Officer","Mr","William","","Sharpe","01/09/2019","","N/A"
"1416704","","4292","08787650","Member","Mr","Peter","","Aston","17/10/2019","","Appointed by academy members"
"1436450","","4292","08787650","Trustee","Mr","Paul","","Duffy","28/11/2019","17/11/2021","Appointed by academy members"
"1436452","","4292","08787650","Trustee","Mrs","Claire","","Norburn","28/11/2019","27/11/2023","Appointed by academy members"
"1436455","","4292","08787650","Trustee","Mr","Sean","","Harrop","28/11/2019","27/11/2021","Appointed by academy members"
"1506465","","4292","08787650","Member","Mayor","Sally","","Holland","26/11/2020","","Appointed by academy members"
"1529359","","4292","08787650","Trustee","Miss","Helen","","Taylor","11/03/2021","05/01/2022","Appointed by academy members"
"1529360","","4292","08787650","Trustee","Miss","Amy","","Parrish","11/03/2021","10/03/2025","Appointed by academy members"
"1557720","","4292","08787650","Chief Financial Officer","Mrs","Sara","","Hoyle","28/09/2020","","N/A"
"1585678","","4292","08787650","Trustee","Mrs","Jayne","","Winstanley","09/03/2022","08/03/2026","Appointed by academy members"
"1327099","","4301","08663956","Member","Mrs","Julia","","Tye","11/10/2013","","Appointed by academy members"
"1327103","","4301","08663956","Member","Mrs","Sarah","","Forbes","16/07/2015","","Appointed by academy members"
"1378932","","4301","08663956","Member","Headteacher","Robert","","Fuller","01/09/2019","","Appointed by academy members"
"1378934","","4301","08663956","Accounting Officer","Headteacher","Robert","","Fuller","01/09/2019","","N/A"
